"Wavelength (nm)","T"
1209,55.62481
1210,55.78959
1211,55.72265
1212,55.75687
1213,55.91509
1214,55.81918
1215,55.91561
1216,56.04422
1217,55.94236
1218,56.08083
1219,56.1614
1220,56.07816
1221,56.2596
1222,56.27941
1223,56.22619
1224,56.42139
1225,56.38393
1226,56.37246
1227,56.57514
1228,56.50873
1229,56.56802
1230,56.74697
1231,56.65135
1232,56.76631
1233,56.90232
1234,56.79536
1235,56.95886
1236,57.04694
1237,56.95532
1238,57.16022
1239,57.18576
1240,57.13259
1241,57.35356
1242,57.32747
1243,57.32887
1244,57.54277
1245,57.47176
1246,57.53519
1247,57.71468
1248,57.61417
1249,57.76072
1250,57.90482
1251,57.80455
1252,58.00422
1253,58.08469
1254,58.00554
1255,58.23152
1256,58.25831
1257,58.22576
1258,58.47385
1259,58.42641
1260,58.4595
1261,58.69203
1262,58.60783
1263,58.70794
1264,58.91245
1265,58.79774
1266,58.9547
1267,59.08932
1268,58.98096
1269,59.18093
1270,59.25544
1271,59.18473
1272,59.43315
1273,59.43841
1274,59.4304
1275,59.68386
1276,59.63524
1277,59.688
1278,59.92018
1279,59.83058
1280,59.95668
1281,60.14131
1282,60.03236
1283,60.21904
1284,60.34469
1285,60.24793
1286,60.47702
1287,60.52778
1288,60.46346
1289,60.71917
1290,60.70519
1291,60.70581
1292,60.9698
1293,60.91473
1294,60.97972
1295,61.22316
1296,61.13052
1297,61.26723
1298,61.45824
1299,61.35683
1300,61.55063
1301,61.67607
1302,61.5879
1303,61.83611
1304,61.89252
1305,61.85869
1306,62.14298
1307,62.13714
1308,62.15982
1309,62.44138
1310,62.3765
1311,62.47392
1312,62.71013
1313,62.61232
1314,62.78971
1315,62.97507
1316,62.85147
1317,63.11247
1318,63.22857
1319,63.01767
1320,63.04142
1321,63.24113
1322,62.99529
1323,63.10967
1324,63.33932
1325,63.35248
1326,63.40495
1327,63.62611
1328,63.59857
1329,63.71392
1330,63.93446
1331,63.88264
1332,64.07005
1333,64.24359
1334,64.19565
1335,64.42439
1336,64.53391
1337,64.48531
1338,64.75594
1339,64.79407
1340,64.79956
1341,65.0793
1342,65.0524
1343,65.1175
1344,65.38095
1345,65.29405
1346,65.42616
1347,65.64503
1348,65.53601
1349,65.72888
1350,65.88279
1351,65.7682
1352,66.03519
1353,66.0993
1354,66.03893
1355,66.34695
1356,66.34937
1357,66.33461
1358,66.65497
1359,66.57458
1360,66.64731
1361,66.94777
1362,66.82188
1363,66.99725
1364,67.2603
1365,67.11668
1366,67.38491
1367,67.56487
1368,67.44006
1369,67.76782
1370,67.8545
1371,67.74952
1372,68.10744
1373,68.08596
1374,68.0749
1375,68.42879
1376,68.3454
1377,68.4408
1378,68.75137
1379,68.57773
1380,68.77135
1381,69.00808
1382,68.82996
1383,69.13236
1384,69.27753
1385,69.12619
1386,69.49079
1387,69.54112
1388,69.42479
1389,69.8317
1390,69.77718
1391,69.75071
1392,70.13069
1393,69.99351
1394,70.06355
1395,70.3912
1396,70.19695
1397,70.38297
1398,70.65945
1399,70.44312
1400,70.72409
1401,70.91105
1402,70.7131
1403,71.06622
1404,71.16822
1405,71.0208
1406,71.40797
1407,71.39137
1408,71.31593
1409,71.71749
1410,71.62384
1411,71.65668
1412,72.04419
1413,71.87248
1414,71.99831
1415,72.33363
1416,72.1316
1417,72.37965
1418,72.64528
1419,72.44656
1420,72.78336
1421,72.93715
1422,72.75362
1423,73.14633
1424,73.17732
1425,73.06718
1426,73.4906
1427,73.43884
1428,73.42558
1429,73.87241
1430,73.71399
1431,73.84694
1432,74.23209
1433,74.03365
1434,74.24785
